"";"expCoeff";"penteInfCoeff";"distrouteCoeff";"ratioliste";"voisUrbCoef";"routesCoef";"route_vois";"popHaIrrig";"popHaUrb";"rmsle";"rmse"
"198";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"true";"9.0";"70.0";2,68;29,02
"199";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"false";"12.0";"60.0";2,69;29,01
"200";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"false";"12.0";"65.0";2,69;29,01
"201";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"false";"12.0";"70.0";2,69;29
"202";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"false";"15.0";"60.0";2,69;29
"203";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"false";"15.0";"65.0";2,69;28,99
"204";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"false";"15.0";"70.0";2,69;29
"205";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"false";"9.0";"60.0";2,69;29
"206";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"false";"9.0";"65.0";2,69;29,01
"207";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"false";"9.0";"70.0";2,69;29
"208";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"true";"12.0";"60.0";2,69;29,01
"209";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"true";"12.0";"65.0";2,69;29,01
"210";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"true";"12.0";"70.0";2,69;29,01
"211";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"true";"15.0";"60.0";2,69;29,01
"212";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"true";"15.0";"65.0";2,69;29,01
"213";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"true";"15.0";"70.0";2,69;29,01
"214";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"true";"9.0";"60.0";2,69;29,01
"215";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"true";"9.0";"65.0";2,69;29,02
"216";"0.0";"3.0";"0.0";"0.2";"6.0";"9.0";"true";"9.0";"70.0";2,69;29,01
"217";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"false";"12.0";"60.0";2,67;29,23
"218";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"false";"12.0";"65.0";2,67;29,22
"219";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"false";"12.0";"70.0";2,67;29,23
"220";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"false";"15.0";"60.0";2,67;29,23
"221";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"false";"15.0";"65.0";2,67;29,23
"222";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"false";"15.0";"70.0";2,67;29,24
"223";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"false";"9.0";"60.0";2,67;29,23
"224";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"false";"9.0";"65.0";2,67;29,24
"225";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"false";"9.0";"70.0";2,67;29,23
"226";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"true";"12.0";"60.0";2,67;29,23
"227";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"true";"12.0";"65.0";2,67;29,23
"228";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"true";"12.0";"70.0";2,67;29,23
"229";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"true";"15.0";"60.0";2,67;29,23
"230";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"true";"15.0";"65.0";2,67;29,23
"231";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"true";"15.0";"70.0";2,67;29,23
"232";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"true";"9.0";"60.0";2,67;29,23
"233";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"true";"9.0";"65.0";2,67;29,23
"234";"0.0";"3.0";"0.0";"0.2";"9.0";"0.0";"true";"9.0";"70.0";2,67;29,23
"235";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"false";"12.0";"60.0";2,67;29,08
"236";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"false";"12.0";"65.0";2,67;29,09
"237";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"false";"12.0";"70.0";2,67;29,09
"238";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"false";"15.0";"60.0";2,67;29,08
"239";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"false";"15.0";"65.0";2,67;29,08
"240";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"false";"15.0";"70.0";2,67;29,08
"241";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"false";"9.0";"60.0";2,67;29,09
"242";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"false";"9.0";"65.0";2,67;29,08
"243";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"false";"9.0";"70.0";2,67;29,08
"244";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"true";"12.0";"60.0";2,67;29,09
"245";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"true";"12.0";"65.0";2,67;29,09
"246";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"true";"12.0";"70.0";2,67;29,1
"247";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"true";"15.0";"60.0";2,67;29,1
"248";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"true";"15.0";"65.0";2,67;29,1
"249";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"true";"15.0";"70.0";2,67;29,09
"250";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"true";"9.0";"60.0";2,67;29,1
"251";"0.0";"3.0";"0.0";"0.2";"9.0";"3.0";"true";"9.0";"65.0";2,67;29,09
